orp_nazev,Index_vzdelavacich_problemu,Index_destabilizujici_chudoby,Index_soc_znevyhodneni,Index_zaostavani,Index_financovani,celkem,podil,podil_0_18,datum,day_no
Brno,nízké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,15101,0.03948954642329468,0.37328653731540956,2022-04-24,23
Břeclav,nízké,střední,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1377,0.023102476343869537,0.38562091503267976,2022-04-24,23
Bučovice,střední,střední,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,269,0.016615194564546017,0.34572490706319703,2022-04-24,23
Hodonín,střední,vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,604,0.009970451806731706,0.31456953642384106,2022-04-24,23
Hustopeče,nízké,nízké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,703,0.019276645918451286,0.42816500711237554,2022-04-24,23
Ivančice,střední,střední,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,350,0.014197055125136901,0.38571428571428573,2022-04-24,23
Kuřim,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,614,0.02606775919164473,0.44299674267100975,2022-04-24,23
Kyjov,nízké,nízké,velmi vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,600,0.010804970286331712,0.37666666666666665,2022-04-24,23
Mikulov,střední,vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,574,0.02812484688127787,0.4181184668989547,2022-04-24,23
Moravský Krumlov,střední,střední,velmi vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",324,0.014396161023727006,0.43209876543209874,2022-04-24,23
Pohořelice,velmi vysoké,nízké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,469,0.03148707620006714,0.32409381663113007,2022-04-24,23
Rosice,velmi nízké,nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,543,0.020537065052950075,0.4548802946593002,2022-04-24,23
Slavkov u Brna,nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,307,0.012647276921809343,0.43322475570032576,2022-04-24,23
Šlapanice,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1371,0.019282158026497145,0.412837345003647,2022-04-24,23
Tišnov,velmi nízké,velmi nízké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,541,0.016961906254898886,0.41589648798521256,2022-04-24,23
Veselí nad Moravou,nízké,nízké,velmi vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,705,0.018801002720145073,0.3872340425531915,2022-04-24,23
Vyškov,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,820,0.015687474890474642,0.4,2022-04-24,23
