orp_nazev,Index_vzdelavacich_problemu,Index_destabilizujici_chudoby,Index_soc_znevyhodneni,Index_zaostavani,Index_financovani,celkem,podil,podil_0_18,datum,day_no
Praha,nízké,střední,velmi nízké,Vzdělávací problémy na míře očekávání,NA,61230,0.04586228282265385,0.4001796504981218,2022-04-01,0
Benešov,velmi nízké,nízké,velmi nízké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1544,0.02517322898834271,0.46049222797927464,2022-04-01,0
Beroun,nízké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1360,0.020578933829648795,0.43308823529411766,2022-04-01,0
Brandýs nad Labem-Stará Boleslav,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,3637,0.03150172363019038,0.4206763816332142,2022-04-01,0
Čáslav,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,569,0.02200139200371201,0.38137082601054484,2022-04-01,0
Černošice,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,4533,0.029766556128312048,0.44187072578866093,2022-04-01,0
Český Brod,vysoké,vysoké,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,455,0.020821892732930624,0.4879120879120879,2022-04-01,0
Dobříš,vysoké,nízké,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,408,0.017538580578601214,0.4215686274509804,2022-04-01,0
Hořovice,střední,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,904,0.029819237366407177,0.4170353982300885,2022-04-01,0
Kladno,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2404,0.019069527624638084,0.4363560732113145,2022-04-01,0
Kolín,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2150,0.025472726411070564,0.4325581395348837,2022-04-01,0
Kralupy nad Vltavou,střední,střední,velmi nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,959,0.029127688008747418,0.40875912408759124,2022-04-01,0
Kutná Hora,vysoké,vysoké,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1443,0.028603710751665082,0.43104643104643103,2022-04-01,0
Lysá nad Labem,střední,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1568,0.057763860747835696,0.47512755102040816,2022-04-01,0
Mělník,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1096,0.024465377918657084,0.4498175182481752,2022-04-01,0
Mladá Boleslav,střední,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,4108,0.03635237378877041,0.41820837390457644,2022-04-01,0
Mnichovo Hradiště,střední,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,552,0.030603758939956757,0.42391304347826086,2022-04-01,0
Neratovice,velmi vysoké,vysoké,střední,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,590,0.018286068495273516,0.4271186440677966,2022-04-01,0
Nymburk,střední,střední,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,846,0.02089146808247932,0.44089834515366433,2022-04-01,0
Poděbrady,velmi nízké,střední,střední,Výrazně méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,684,0.02166270783847981,0.4283625730994152,2022-04-01,0
Příbram,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1792,0.025601828702050147,0.4146205357142857,2022-04-01,0
Rakovník,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,904,0.016219028652421193,0.41814159292035397,2022-04-01,0
Říčany,nízké,velmi nízké,velmi nízké,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,2143,0.02916241409811526,0.41763882407839475,2022-04-01,0
Sedlčany,nízké,nízké,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,526,0.023933023933023934,0.46387832699619774,2022-04-01,0
Slaný,velmi vysoké,vysoké,vysoké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,1037,0.0254291319274154,0.47444551591128253,2022-04-01,0
Vlašim,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,424,0.01634100281342737,0.455188679245283,2022-04-01,0
Votice,nízké,nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,176,0.014125200642054575,0.4602272727272727,2022-04-01,0
Blatná,nízké,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,321,0.02359600117612467,0.3364485981308411,2022-04-01,0
České Budějovice,střední,střední,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,3351,0.02053812208874724,0.41480155177558936,2022-04-01,0
Český Krumlov,střední,velmi vysoké,vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,1077,0.025984992882476417,0.40575673166202414,2022-04-01,0
Dačice,střední,střední,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,124,0.006640959725792631,0.47580645161290325,2022-04-01,0
Jindřichův Hradec,nízké,vysoké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,561,0.011951936597213345,0.4474153297682709,2022-04-01,0
Kaplice,vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,543,0.0273235042520002,0.3848987108655617,2022-04-01,0
Milevsko,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,199,0.010949105914718019,0.4723618090452261,2022-04-01,0
Písek,střední,střední,velmi nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",1260,0.023589762791829703,0.40714285714285714,2022-04-01,0
Prachatice,vysoké,vysoké,nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",764,0.022938121115681387,0.4018324607329843,2022-04-01,0
Soběslav,velmi vysoké,střední,střední,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,395,0.017985611510791366,0.3670886075949367,2022-04-01,0
Strakonice,vysoké,střední,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,548,0.012177507166507411,0.41788321167883213,2022-04-01,0
Tábor,nízké,střední,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1649,0.020487271552634523,0.39721043056397815,2022-04-01,0
Trhové Sviny,velmi vysoké,střední,střední,Výrazně více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,247,0.012765517597808673,0.5182186234817814,2022-04-01,0
Třeboň,vysoké,vysoké,střední,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,509,0.02063318334752118,0.4675834970530452,2022-04-01,0
Týn nad Vltavou,nízké,vysoké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,216,0.015326757964947138,0.4305555555555556,2022-04-01,0
Vimperk,vysoké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",402,0.02300824175824176,0.43532338308457713,2022-04-01,0
Vodňany,vysoké,střední,vysoké,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,611,0.05122830552527878,0.3780687397708674,2022-04-01,0
Blovice,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,194,0.015857446460683343,0.4536082474226804,2022-04-01,0
Domažlice,vysoké,střední,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,824,0.02036378015025702,0.4308252427184466,2022-04-01,0
Horažďovice,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,170,0.01475054229934924,0.5,2022-04-01,0
Horšovský Týn,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,285,0.019251553634152933,0.37543859649122807,2022-04-01,0
Klatovy,vysoké,nízké,velmi nízké,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,1096,0.021621621621621623,0.3822992700729927,2022-04-01,0
Kralovice,střední,vysoké,střední,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,449,0.019964428634948867,0.42538975501113585,2022-04-01,0
Nepomuk,vysoké,střední,nízké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,190,0.0163750754115315,0.4473684210526316,2022-04-01,0
Nýřany,střední,střední,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,842,0.014472078513604098,0.3693586698337292,2022-04-01,0
Plzeň,vysoké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,9439,0.048444877848491066,0.36550482042589255,2022-04-01,0
Přeštice,nízké,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,372,0.01624099541584807,0.41397849462365593,2022-04-01,0
Rokycany,vysoké,střední,velmi nízké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1103,0.022287781123077856,0.3952855847688123,2022-04-01,0
Stod,velmi vysoké,střední,nízké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,628,0.026850228740005987,0.4299363057324841,2022-04-01,0
Stříbro,velmi vysoké,velmi vysoké,vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,449,0.026156355586624724,0.3273942093541203,2022-04-01,0
Sušice,vysoké,střední,vysoké,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,485,0.020176387386637823,0.41855670103092785,2022-04-01,0
Tachov,velmi vysoké,velmi vysoké,vysoké,Výrazně více vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,1685,0.04526771082395293,0.34421364985163205,2022-04-01,0
Aš,velmi vysoké,velmi vysoké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,392,0.02225881551303163,0.42346938775510207,2022-04-01,0
Cheb,velmi vysoké,velmi vysoké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1568,0.03141214415930445,0.4024234693877551,2022-04-01,0
Karlovy Vary,vysoké,velmi vysoké,nízké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,4851,0.05575797979333571,0.3793032364460936,2022-04-01,0
Kraslice,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",205,0.01576801784478117,0.4097560975609756,2022-04-01,0
Mariánské Lázně,velmi vysoké,velmi vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1379,0.057684263364845646,0.3966642494561276,2022-04-01,0
Ostrov,velmi vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,500,0.018266174697694808,0.432,2022-04-01,0
Sokolov,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1033,0.01386539958658828,0.4027105517909003,2022-04-01,0
Bílina,velmi vysoké,velmi vysoké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,218,0.009685445175048872,0.4036697247706422,2022-04-01,0
Děčín,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,752,0.00987771078798387,0.4308510638297872,2022-04-01,0
Chomutov,velmi vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1442,0.01768175297046093,0.45977808599167824,2022-04-01,0
Kadaň,vysoké,velmi vysoké,velmi vysoké,Výrazně méně vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,869,0.020187237205844775,0.41196777905638665,2022-04-01,0
Litoměřice,vysoké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1089,0.018534277350398257,0.44077134986225897,2022-04-01,0
Litvínov,vysoké,velmi vysoké,velmi vysoké,Výrazně méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,308,0.008339199653435858,0.44155844155844154,2022-04-01,0
Louny,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,682,0.015690063726505166,0.39589442815249265,2022-04-01,0
Lovosice,střední,vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,371,0.013434727503168568,0.39892183288409705,2022-04-01,0
Most,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1169,0.015797510777172664,0.41830624465355004,2022-04-01,0
Podbořany,velmi vysoké,velmi vysoké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,200,0.012780369352674292,0.41,2022-04-01,0
Roudnice nad Labem,vysoké,vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,490,0.0149362921416814,0.4387755102040816,2022-04-01,0
Rumburk,velmi vysoké,velmi vysoké,velmi vysoké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,370,0.011374465861231517,0.4243243243243243,2022-04-01,0
Teplice,velmi vysoké,velmi vysoké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2456,0.023099640714057297,0.41327361563517917,2022-04-01,0
Ústí nad Labem,velmi vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1886,0.015895356971285534,0.4268292682926829,2022-04-01,0
Varnsdorf,velmi vysoké,velmi vysoké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,310,0.015665268583556522,0.4483870967741935,2022-04-01,0
Žatec,velmi vysoké,velmi vysoké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,427,0.015670874926600117,0.41217798594847777,2022-04-01,0
Česká Lípa,velmi vysoké,velmi vysoké,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1491,0.019438360450563203,0.448692152917505,2022-04-01,0
Frýdlant,velmi vysoké,velmi vysoké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,426,0.017380660954712364,0.4225352112676056,2022-04-01,0
Jablonec nad Nisou,střední,velmi vysoké,velmi nízké,Méně vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1310,0.023471654841252777,0.43206106870229005,2022-04-01,0
Jilemnice,velmi nízké,velmi nízké,vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,598,0.027238771977771706,0.431438127090301,2022-04-01,0
Liberec,střední,vysoké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,4320,0.02971400272378358,0.4300925925925926,2022-04-01,0
Nový Bor,velmi vysoké,velmi vysoké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,353,0.013425115996044725,0.43909348441926344,2022-04-01,0
Semily,velmi nízké,střední,vysoké,Méně vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,251,0.009816190848650763,0.46613545816733065,2022-04-01,0
Tanvald,velmi vysoké,velmi vysoké,vysoké,Více vzdělávacích problémů než očekáváno,"68 - 72,5 tisíc Kč",703,0.03467495314195521,0.4423897581792319,2022-04-01,0
Turnov,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,833,0.02463695247108929,0.42136854741896757,2022-04-01,0
Železný Brod,nízké,nízké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,208,0.017103856590740894,0.46153846153846156,2022-04-01,0
Broumov,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,385,0.024371716148635817,0.45454545454545453,2022-04-01,0
Dobruška,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,309,0.01535174880763116,0.4563106796116505,2022-04-01,0
Dvůr Králové nad Labem,nízké,vysoké,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,393,0.014617816626371582,0.4402035623409669,2022-04-01,0
Hořice,velmi vysoké,nízké,nízké,Výrazně více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,419,0.02282881115833061,0.45823389021479716,2022-04-01,0
Hradec Králové,velmi nízké,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,2901,0.019732277680284047,0.42571527059634606,2022-04-01,0
Jaroměř,velmi vysoké,vysoké,vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,389,0.020226705490848585,0.442159383033419,2022-04-01,0
Jičín,nízké,střední,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,952,0.019631699420534922,0.47163865546218486,2022-04-01,0
Kostelec nad Orlicí,vysoké,střední,velmi nízké,Více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,477,0.01905560882070949,0.480083857442348,2022-04-01,0
Náchod,nízké,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1316,0.02180902190845514,0.4270516717325228,2022-04-01,0
Nová Paka,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",358,0.026943629111161285,0.39664804469273746,2022-04-01,0
Nové Město nad Metují,velmi nízké,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,244,0.01728534995749504,0.4262295081967213,2022-04-01,0
Nový Bydžov,střední,střední,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,343,0.019693402997071827,0.4314868804664723,2022-04-01,0
Rychnov nad Kněžnou,nízké,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1001,0.029292131214701665,0.3966033966033966,2022-04-01,0
Trutnov,nízké,vysoké,střední,Méně vzdělávacích problémů než očekáváno,"68 - 72,5 tisíc Kč",912,0.014465628271420868,0.4451754385964912,2022-04-01,0
Vrchlabí,velmi vysoké,střední,nízké,Výrazně více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,719,0.026161627187716044,0.40333796940194716,2022-04-01,0
Česká Třebová,velmi vysoké,vysoké,střední,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,183,0.01025037808771635,0.46994535519125685,2022-04-01,0
Hlinsko,vysoké,velmi nízké,vysoké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,273,0.012990102778835173,0.358974358974359,2022-04-01,0
Holice,střední,velmi nízké,velmi nízké,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,486,0.02693416093992463,0.4094650205761317,2022-04-01,0
Chrudim,vysoké,nízké,střední,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,1683,0.020109448931797544,0.45454545454545453,2022-04-01,0
Králíky,velmi vysoké,vysoké,velmi vysoké,Více vzdělávacích problémů než očekáváno,"68 - 72,5 tisíc Kč",197,0.02285913204919935,0.43147208121827413,2022-04-01,0
Lanškroun,nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,428,0.01854017760450509,0.411214953271028,2022-04-01,0
Litomyšl,nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,589,0.021727903202006786,0.3921901528013582,2022-04-01,0
Moravská Třebová,vysoké,vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,213,0.008201139688895734,0.39436619718309857,2022-04-01,0
Pardubice,vysoké,střední,velmi nízké,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,3514,0.026600455705018053,0.41718838929994306,2022-04-01,0
Polička,nízké,velmi nízké,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,401,0.020443538108590363,0.4114713216957606,2022-04-01,0
Přelouč,vysoké,střední,střední,Výrazně více vzdělávacích problémů než očekáváno,52 - 56 tisíc Kč,593,0.02281646787225856,0.42327150084317033,2022-04-01,0
Svitavy,střední,vysoké,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,247,0.00789011340041527,0.4574898785425101,2022-04-01,0
Ústí nad Orlicí,střední,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,377,0.01422051224020218,0.4323607427055703,2022-04-01,0
Vysoké Mýto,velmi vysoké,nízké,velmi nízké,Výrazně více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,668,0.020565236130780123,0.41467065868263475,2022-04-01,0
Žamberk,střední,velmi nízké,velmi nízké,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,525,0.01781956418437309,0.4419047619047619,2022-04-01,0
Bystřice nad Pernštejnem,nízké,nízké,velmi vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",230,0.011695906432748537,0.47391304347826085,2022-04-01,0
Havlíčkův Brod,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,844,0.015969121319912207,0.48578199052132703,2022-04-01,0
Humpolec,velmi nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,473,0.026398035495032928,0.47780126849894294,2022-04-01,0
Chotěboř,nízké,velmi nízké,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,225,0.010338648164315581,0.49777777777777776,2022-04-01,0
Jihlava,nízké,nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,2075,0.020515304911808908,0.4269879518072289,2022-04-01,0
Moravské Budějovice,vysoké,nízké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,64 - 68 tisíc Kč,124,0.005411302640192014,0.4274193548387097,2022-04-01,0
Náměšť nad Oslavou,velmi nízké,velmi nízké,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,215,0.016023252347592786,0.44651162790697674,2022-04-01,0
Nové Město na Moravě,velmi nízké,velmi nízké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,324,0.016730352163585666,0.43209876543209874,2022-04-01,0
Pacov,střední,velmi nízké,nízké,Více vzdělávacích problémů než očekáváno,56 - 60 tisíc Kč,245,0.02631861639273821,0.43673469387755104,2022-04-01,0
Pelhřimov,nízké,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1077,0.023895631337223493,0.4401114206128134,2022-04-01,0
Světlá nad Sázavou,velmi nízké,velmi nízké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,279,0.014255786623064738,0.4982078853046595,2022-04-01,0
Telč,velmi nízké,velmi nízké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,262,0.02023791132396107,0.5076335877862596,2022-04-01,0
Třebíč,velmi nízké,nízké,vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,842,0.011377763364142479,0.40973871733966744,2022-04-01,0
Velké Meziříčí,velmi nízké,velmi nízké,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,575,0.01578456132645218,0.3826086956521739,2022-04-01,0
Žďár nad Sázavou,velmi nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,714,0.016807118308930842,0.4495798319327731,2022-04-01,0
Blansko,velmi nízké,nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,979,0.017161889736173195,0.40551583248212464,2022-04-01,0
Boskovice,velmi nízké,nízké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,707,0.013580744924028507,0.4158415841584158,2022-04-01,0
Brno,nízké,vysoké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,12600,0.03294935997175769,0.3942063492063492,2022-04-01,0
Břeclav,nízké,střední,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,1043,0.017498825582175692,0.4189837008628955,2022-04-01,0
Bučovice,střední,střední,vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,228,0.014082767140210006,0.38596491228070173,2022-04-01,0
Hodonín,střední,vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,444,0.00732927252018026,0.36261261261261263,2022-04-01,0
Hustopeče,nízké,nízké,vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,569,0.015602292357893005,0.46924428822495606,2022-04-01,0
Ivančice,střední,střední,střední,Vzdělávací problémy na míře očekávání,60 - 64 tisíc Kč,253,0.010262442704741817,0.44664031620553357,2022-04-01,0
Kuřim,nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,487,0.02067589369109281,0.4784394250513347,2022-04-01,0
Kyjov,nízké,nízké,velmi vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,474,0.008535926526202053,0.3987341772151899,2022-04-01,0
Mikulov,střední,vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,495,0.024254005585770982,0.4303030303030303,2022-04-01,0
Moravský Krumlov,střední,střední,velmi vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",202,0.008975384341953257,0.45544554455445546,2022-04-01,0
Pohořelice,velmi vysoké,nízké,velmi vysoké,Výrazně více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,391,0.026250419603893925,0.3631713554987212,2022-04-01,0
Rosice,velmi nízké,nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,477,0.018040847201210287,0.4716981132075472,2022-04-01,0
Slavkov u Brna,nízké,velmi nízké,nízké,Vzdělávací problémy na míře očekávání,52 - 56 tisíc Kč,215,0.008857213479443026,0.4790697674418605,2022-04-01,0
Šlapanice,velmi nízké,velmi nízké,velmi nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1163,0.016356783212849148,0.44282029234737746,2022-04-01,0
Tišnov,velmi nízké,velmi nízké,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,406,0.012729267910330773,0.42610837438423643,2022-04-01,0
Veselí nad Moravou,nízké,nízké,velmi vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,581,0.015494159688516721,0.4044750430292599,2022-04-01,0
Vyškov,střední,nízké,nízké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,712,0.013621319660997494,0.42837078651685395,2022-04-01,0
Znojmo,střední,vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,1583,0.017197922777741563,0.44472520530638027,2022-04-01,0
Židlochovice,střední,velmi nízké,střední,Více vzdělávacích problémů než očekáváno,60 - 64 tisíc Kč,510,0.015042916556056987,0.4176470588235294,2022-04-01,0
Hranice,střední,střední,střední,Vzdělávací problémy na míře očekávání,56 - 60 tisíc Kč,538,0.015797973865805316,0.36059479553903345,2022-04-01,0
Jeseník,velmi vysoké,velmi vysoké,velmi vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",438,0.011615264260521362,0.4269406392694064,2022-04-01,0
Konice,nízké,velmi nízké,velmi vysoké,Vzdělávací problémy na míře očekávání,64 - 68 tisíc Kč,128,0.01202329513432275,0.46875,2022-04-01,0
Lipník nad Bečvou,nízké,střední,vysoké,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",146,0.009669514537386582,0.4246575342465753,2022-04-01,0
Litovel,střední,nízké,střední,Vzdělávací problémy na míře očekávání,"68 - 72,5 tisíc Kč",374,0.015851487666355853,0.42513368983957217,2022-04-01,0
